indicator,horizon,mean_pr_auc,std_pr_auc,min_pr_auc,stability_gap
ICSA,3,0.7039291077880099,0.2646427277252147,0.2813184908773144,0.42261061691069546
BAA10Y,3,0.6274744762891389,0.17074119993863146,0.3760454002389486,0.25142907605019027
ICSA,6,0.6042730653616968,0.3349955260364762,0.04547511312217195,0.5587979522395248
BAA10Y,6,0.5733449226047164,0.3098314195591177,0.044253892358400555,0.5290910302463158
CFNAI,3,0.5519124689775128,0.19124175497859,0.22221089244233672,0.32970157653517607
CFNAI,12,0.5484186086935585,0.24110605124048815,0.2077922077922078,0.3406264009013507
BAA10Y,12,0.5466203127716749,0.28762716488390283,0.0649609187109187,0.4816593940607562
CFNAI,6,0.5401770248200425,0.2448647360315177,0.2631304675598154,0.2770465572602271
ICSA,12,0.5395495575056859,0.28766063059299884,0.046998730247369086,0.4925508272583168
INDPRO,3,0.5385546679492921,0.2623547554708181,0.15494108922903846,0.3836135787202536
NFCI,12,0.5373176817831398,0.3188635652246168,0.06465693551047336,0.4726607462726664
NFCI,3,0.5275732751801973,0.2985429025190509,0.17981680276020243,0.34775647241999486
GDPC1,12,0.5217885876182259,0.3519814902643694,0.05425597060624618,0.4675326170119797
CPIAUCSL,12,0.5206329571539428,0.3617148152315806,0.04307615821278014,0.4775567989411626
GDPC1,6,0.5179187763651252,0.3639905444662182,0.045454545454545456,0.4724642309105797
CPIAUCSL,6,0.5154072196238462,0.3703084534012313,0.03521831471923327,0.4801889049046129
GDPC1,3,0.4991908339579285,0.3542649525156484,0.054713804713804715,0.4444770292441238
UMCSENT,3,0.49495810558457737,0.2558313128282528,0.1367126405604221,0.3582454650241553
CPIAUCSL,3,0.49186039205092713,0.3586041099308219,0.03560489598217323,0.45625549606875393
INDPRO,6,0.47269582147027833,0.31269162169855236,0.06616541353383458,0.40653040793644374
INDPRO,12,0.45208258738829576,0.28743684499114647,0.06032374278832685,0.3917588445999689
NFCI,6,0.44758962579789896,0.31979713198105053,0.053612351165388775,0.3939772746325102
HOUST,12,0.43349456303841427,0.2578695078205551,0.047018215713667114,0.38647634732474717
PERMIT,12,0.4208584407236236,0.2609211853946961,0.0458333709577534,0.3750250697658702
UMCSENT,6,0.4100066760277762,0.29882704416707756,0.04311807299917437,0.3668886030286018
T10Y3M,3,0.4083711580468365,0.32634588926950076,0.039092605525671884,0.3692785525211646
T10Y3M,12,0.4056143232422479,0.22229346731133406,0.04312138661621749,0.3624929366260304
T10Y3M,6,0.40557307889377014,0.25216638405143993,0.03881791920642952,0.3667551596873406
T10Y2Y,3,0.3872302699881832,0.3330513437324502,0.043752705627705626,0.3434775643604776
PAYEMS,3,0.3863276474196752,0.2549135241211189,0.12734811428151066,0.2589795331381645
UMCSENT,12,0.38318544336159166,0.22866424456946716,0.055997223166597894,0.3271882201949938
T10Y2Y,6,0.37918773204126416,0.28484127987933855,0.0417045034137154,0.33748322862754876
T10Y2Y,12,0.3633014285912298,0.2060618051882069,0.04415084203396165,0.3191505865572682
HOUST,6,0.3522855196967013,0.21541714010167207,0.035536553630631705,0.3167489660660696
HOUST,3,0.35079545682359176,0.18696923008665126,0.11704486176317161,0.23375059506042015
PERMIT,6,0.34742257118146214,0.21739270318625478,0.03532646959701826,0.3120961015844439
PERMIT,3,0.33570343877629405,0.21491649078046418,0.05895432040764699,0.2767491183686471
PAYEMS,12,0.33394558789298123,0.24469635493013656,0.04307615821278014,0.2908694296802011
PAYEMS,6,0.3294687420087348,0.26599675893551494,0.03521831471923327,0.29425042728950157
