obs_date,BAA10Y,CFNAI,ICSA,is_inverted,PAYEMS,INDPRO,SAHMREALTIME
1990-01-31,1.68,-0.23,345000.0,0,109196.0,61.729,0.0
1990-02-28,1.68,0.55,350000.0,0,109436.0,62.2896,0.0
1990-03-31,1.58,0.17,346000.0,0,109640.0,62.5999,0.0
1990-04-30,1.5,-0.71,363000.0,0,109674.0,62.4359,0.0
1990-05-31,1.71,0.02,359000.0,0,109828.0,62.6258,1.0
1990-06-30,1.79,-0.04,364000.0,0,109850.0,62.8382,1.0
1990-07-31,1.77,-0.58,369000.0,0,109815.0,62.7284,1.0
1990-08-31,1.69,-0.22,394000.0,0,109607.0,62.9475,1.0
1990-09-30,1.94,-0.8,404000.0,0,109522.0,62.9523,1.0
1990-10-31,2.13,-0.92,440000.0,0,109377.0,62.5845,1.0
1990-11-30,2.27,-1.4,462000.0,0,109222.0,61.7887,1.0
1990-12-31,2.35,-0.96,454000.0,0,109168.0,61.3352,1.0
1991-01-31,2.3,-1.09,462000.0,0,109058.0,61.1355,1.0
1991-02-28,2.09,-0.86,499000.0,0,108735.0,60.6838,1.0
1991-03-31,1.96,-0.9,499000.0,0,108568.0,60.3346,1.0
1991-04-30,1.83,0.02,462000.0,0,108350.0,60.4938,1.0
1991-05-31,1.77,-0.05,443000.0,0,108253.0,61.0633,1.0
1991-06-30,1.66,0.03,418000.0,0,108330.0,61.5581,1.0
1991-07-31,1.6,0.15,423000.0,0,108290.0,61.7305,1.0
1991-08-31,1.75,-0.34,425000.0,0,108300.0,61.7298,1.0
1991-09-30,1.94,0.26,437000.0,0,108335.0,62.2195,1.0
1991-10-31,2.02,-0.36,423000.0,0,108361.0,62.1855,1.0
1991-11-30,2.06,-0.4,444000.0,0,108300.0,62.0871,1.0
1991-12-31,2.39,-0.81,441000.0,0,108330.0,61.7852,1.0
1992-01-31,1.9,-0.07,441000.0,0,108365.0,61.4616,1.0
1992-02-29,1.9,0.1,444000.0,0,108312.0,61.8955,1.0
1992-03-31,1.7,0.44,420000.0,0,108367.0,62.4232,1.0
1992-04-30,1.63,0.24,424000.0,0,108516.0,62.897,1.0
1992-05-31,1.77,-0.06,411000.0,0,108646.0,63.104,1.0
1992-06-30,1.86,0.05,420000.0,0,108706.0,63.1363,1.0
1992-07-31,1.97,0.42,564000.0,0,108793.0,63.7176,1.0
1992-08-31,2.06,-0.61,408000.0,0,108916.0,63.3613,1.0
1992-09-30,2.29,0.09,409000.0,0,108951.0,63.5703,1.0
1992-10-31,2.19,0.21,365000.0,0,109139.0,63.9995,1.0
1992-11-30,2.0,0.1,341000.0,0,109283.0,64.2422,0.0
1992-12-31,2.06,0.46,313000.0,0,109502.0,64.3507,0.0
1993-01-31,2.11,0.21,340000.0,0,109790.0,64.5978,0.0
1993-02-28,2.2,0.16,362000.0,0,110047.0,64.9089,0.0
1993-03-31,2.18,-0.46,366000.0,0,110004.0,64.8522,0.0
1993-04-30,2.12,0.26,350000.0,0,110300.0,65.0301,0.0
1993-05-31,2.1,-0.12,349000.0,0,110571.0,64.784,0.0
1993-06-30,2.16,0.04,340000.0,0,110742.0,64.9301,0.0
1993-07-31,2.05,-0.01,356000.0,0,111054.0,65.1052,0.0
1993-08-31,1.91,-0.03,337000.0,0,111200.0,65.0267,0.0
1993-09-30,2.0,0.4,343000.0,0,111448.0,65.3717,0.0
1993-10-31,1.96,0.36,348000.0,0,111734.0,65.8509,0.0
1993-11-30,1.91,0.3,337000.0,0,111987.0,66.1518,0.0
1993-12-31,1.94,0.51,290000.0,0,112325.0,66.5436,0.0
1994-01-31,1.85,0.07,406000.0,0,112601.0,66.7351,0.0
1994-02-28,1.77,0.22,327000.0,0,112782.0,66.774,0.0
1994-03-31,1.59,0.98,322000.0,0,113245.0,67.4552,0.0
1994-04-30,1.48,0.26,344000.0,0,113589.0,67.8541,0.0
1994-05-31,1.51,0.41,348000.0,0,113922.0,68.1663,0.0
1994-06-30,1.52,0.45,341000.0,0,114239.0,68.6265,0.0
1994-07-31,1.49,0.05,332000.0,0,114608.0,68.7178,0.0
1994-08-31,1.55,0.82,341000.0,0,114902.0,69.1785,0.0
1994-09-30,1.5,0.12,325000.0,0,115246.0,69.3961,0.0
1994-10-31,1.4,0.63,331000.0,0,115457.0,69.9544,0.0
1994-11-30,1.3,0.53,329000.0,0,115867.0,70.4326,0.0
1994-12-31,1.3,0.62,319000.0,0,116174.0,71.1523,0.0
1995-01-31,1.33,0.12,324000.0,0,116505.0,71.2734,0.0
1995-02-28,1.53,-0.25,336000.0,0,116694.0,71.193,0.0
1995-03-31,1.49,-0.07,332000.0,0,116908.0,71.3113,0.0
1995-04-30,1.51,-0.55,365000.0,0,117066.0,71.1882,0.0
1995-05-31,1.66,0.02,374000.0,0,117046.0,71.5378,0.0
1995-06-30,1.74,0.23,358000.0,0,117291.0,71.7749,0.0
1995-07-31,1.72,-0.59,351000.0,0,117382.0,71.4748,0.0
1995-08-31,1.73,0.74,359000.0,0,117646.0,72.4223,0.0
1995-09-30,1.71,0.13,355000.0,0,117873.0,72.7144,0.0
1995-10-31,1.7,-0.29,377000.0,0,118026.0,72.5866,0.0
1995-11-30,1.81,0.03,379000.0,0,118165.0,72.7779,0.0
1995-12-31,1.8,0.07,359000.0,0,118325.0,73.0305,0.0
1996-01-31,1.82,-0.87,387000.0,0,118317.0,72.6125,0.0
1996-02-29,1.78,0.74,365000.0,0,118738.0,73.6752,0.0
1996-03-31,1.78,-0.14,393000.0,0,118992.0,73.585,0.0
1996-04-30,1.61,0.43,343000.0,0,119158.0,74.3172,0.0
1996-05-31,1.48,0.4,343000.0,0,119497.0,74.8726,0.0
1996-06-30,1.51,0.35,337000.0,0,119770.0,75.4433,0.0
1996-07-31,1.5,0.06,327000.0,0,120019.0,75.4549,0.0
1996-08-31,1.48,0.22,329000.0,0,120198.0,75.8411,0.0
1996-09-30,1.5,0.3,348000.0,0,120400.0,76.3158,0.0
1996-10-31,1.54,0.05,352000.0,0,120665.0,76.3384,0.0
1996-11-30,1.65,0.49,332000.0,0,120947.0,77.0397,0.0
1996-12-31,1.54,0.06,357000.0,0,121143.0,77.5333,0.0
1997-01-31,1.5,0.27,340000.0,0,121356.0,77.6562,0.0
1997-02-28,1.49,0.82,322000.0,0,121673.0,78.5833,0.0
1997-03-31,1.4,0.3,325000.0,0,121991.0,79.082,0.0
1997-04-30,1.5,0.08,337000.0,0,122289.0,79.1747,0.0
1997-05-31,1.51,0.22,321000.0,0,122560.0,79.6133,0.0
1997-06-30,1.5,0.38,322000.0,0,122816.0,79.9792,0.0
1997-07-31,1.54,0.65,306000.0,0,123114.0,80.6624,0.0
1997-08-31,1.44,0.3,332000.0,0,123087.0,81.4694,0.0
1997-09-30,1.54,0.63,317000.0,0,123575.0,82.2156,0.0
1997-10-31,1.6,0.45,306000.0,0,123924.0,82.9446,0.0
1997-11-30,1.52,0.61,318000.0,0,124225.0,83.5978,0.0
1997-12-31,1.53,0.06,303000.0,0,124549.0,83.9538,0.0
1998-01-31,1.68,0.31,315000.0,0,124806.0,84.3218,0.0
