obs_date,BAA10Y,CFNAI,CPIAUCSL,GDPC1,HOUST,ICSA,INDPRO,NFCI,PAYEMS,PERMIT,SAHMREALTIME,T10Y2Y,T10Y3M,UMCSENT,UNRATE,USREC
1990-01-31,1.68,-0.23,127.5,10047.386,1551.0,345000.0,61.729,0.064,109196.0,1748.0,0.13,0.15,0.43,93.0,5.4,0.0
1990-02-28,1.68,0.55,128.0,10047.386,1437.0,350000.0,62.2896,0.052,109436.0,1329.0,0.13,0.08,0.47,89.5,5.3,0.0
1990-03-31,1.58,0.17,128.6,10047.386,1289.0,346000.0,62.5999,0.078,109640.0,1246.0,0.1,0.01,0.58,91.3,5.2,0.0
1990-04-30,1.5,-0.71,128.9,10083.855,1248.0,363000.0,62.4359,0.11,109674.0,1136.0,0.13,0.08,0.97,93.9,5.4,0.0
1990-05-31,1.71,0.02,129.1,10083.855,1212.0,359000.0,62.6258,-0.006,109828.0,1067.0,0.13,0.1,0.59,90.6,5.4,0.0
1990-06-30,1.79,-0.04,129.9,10083.855,1177.0,364000.0,62.8382,-0.155,109850.0,1108.0,0.03,0.19,0.43,88.3,5.2,0.0
1990-07-31,1.77,-0.58,130.5,10090.569,1171.0,369000.0,62.7284,-0.072,109815.0,1078.0,0.07,0.45,0.62,88.2,5.5,0.0
1990-08-31,1.69,-0.22,131.6,10090.569,1115.0,394000.0,62.9475,0.185,109607.0,1069.0,0.17,0.79,1.23,76.4,5.7,1.0
1990-09-30,1.94,-0.8,132.5,10090.569,1110.0,404000.0,62.9523,0.38,109522.0,976.0,0.33,0.8,1.45,72.8,5.9,1.0
1990-10-31,2.13,-0.92,133.4,9998.704,1014.0,440000.0,62.5845,0.456,109377.0,925.0,0.4,0.88,1.31,63.9,5.9,1.0
1990-11-30,2.27,-1.4,133.7,9998.704,1145.0,462000.0,61.7887,0.471,109222.0,941.0,0.5,0.73,1.02,66.0,6.2,1.0
1990-12-31,2.35,-0.96,134.2,9998.704,969.0,454000.0,61.3352,0.519,109168.0,861.0,0.6,0.93,1.45,65.5,6.3,1.0
1991-01-31,2.3,-1.09,134.7,9951.916,798.0,462000.0,61.1355,0.392,109058.0,786.0,0.77,0.98,1.66,66.8,6.4,1.0
1991-02-28,2.09,-0.86,134.8,9951.916,965.0,499000.0,60.6838,0.102,108735.0,853.0,0.97,0.98,1.8,70.4,6.6,1.0
1991-03-31,1.96,-0.9,134.8,9951.916,921.0,499000.0,60.3346,-0.149,108568.0,911.0,1.2,1.03,2.13,87.7,6.8,1.0
1991-04-30,1.83,0.02,135.1,10029.51,1001.0,462000.0,60.4938,-0.234,108350.0,916.0,1.3,1.22,2.34,81.8,6.7,0.0
1991-05-31,1.77,-0.05,135.6,10029.51,996.0,443000.0,61.0633,-0.236,108253.0,991.0,1.43,1.38,2.35,78.3,6.9,0.0
1991-06-30,1.66,0.03,136.0,10029.51,1036.0,418000.0,61.5581,-0.269,108330.0,964.0,1.5,1.34,2.53,82.1,6.9,0.0
1991-07-31,1.6,0.15,136.2,10080.195,1063.0,423000.0,61.7305,-0.414,108290.0,973.0,1.53,1.39,2.5,82.9,6.8,0.0
1991-08-31,1.75,-0.34,136.6,10080.195,1049.0,425000.0,61.7298,-0.54,108300.0,944.0,1.4,1.46,2.33,82.0,6.9,0.0
1991-09-30,1.94,0.26,137.0,10080.195,1015.0,437000.0,62.2195,-0.56,108335.0,974.0,1.17,1.48,2.21,83.0,6.9,0.0
1991-10-31,2.02,-0.36,137.2,10115.329,1079.0,423000.0,62.1855,-0.581,108361.0,991.0,1.1,1.77,2.51,78.3,7.0,0.0
1991-11-30,2.06,-0.4,137.8,10115.329,1103.0,444000.0,62.0871,-0.628,108300.0,984.0,1.0,2.0,2.91,69.1,7.0,0.0
1991-12-31,2.39,-0.81,138.2,10115.329,1079.0,441000.0,61.7852,-0.663,108330.0,1061.0,1.0,1.94,2.75,68.2,7.3,0.0
1992-01-31,1.9,-0.07,138.3,10236.435,1176.0,441000.0,61.4616,-0.656,108365.0,1077.0,0.93,2.2,3.37,67.5,7.3,0.0
1992-02-29,1.9,0.1,138.6,10236.435,1250.0,444000.0,61.8955,-0.654,108312.0,1146.0,0.9,2.0,3.24,68.8,7.4,0.0
1992-03-31,1.7,0.44,139.1,10236.435,1297.0,420000.0,62.4232,-0.682,108367.0,1082.0,0.77,1.94,3.39,76.0,7.4,0.0
1992-04-30,1.63,0.24,139.4,10347.429,1099.0,424000.0,62.897,-0.76,108516.0,1054.0,0.67,2.15,3.82,77.2,7.4,0.0
1992-05-31,1.77,-0.06,139.7,10347.429,1214.0,411000.0,63.104,-0.859,108646.0,1056.0,0.63,2.14,3.54,79.2,7.6,0.0
1992-06-30,1.86,0.05,140.1,10347.429,1145.0,420000.0,63.1363,-0.914,108706.0,1057.0,0.73,2.31,3.49,80.4,7.8,0.0
1992-07-31,1.97,0.42,140.5,10449.673,1139.0,564000.0,63.7176,-0.936,108793.0,1089.0,0.87,2.3,3.47,76.6,7.7,0.0
1992-08-31,2.06,-0.61,140.8,10449.673,1226.0,408000.0,63.3613,-0.897,108916.0,1075.0,0.9,2.47,3.39,76.1,7.6,0.0
1992-09-30,2.29,0.09,141.1,10449.673,1186.0,409000.0,63.5703,-0.804,108951.0,1114.0,0.8,2.57,3.62,75.6,7.6,0.0
1992-10-31,2.19,0.21,141.7,10558.648,1244.0,365000.0,63.9995,-0.682,109139.0,1132.0,0.67,2.4,3.77,73.3,7.3,0.0
1992-11-30,2.0,0.1,142.1,10558.648,1214.0,341000.0,64.2422,-0.735,109283.0,1118.0,0.5,2.16,3.57,85.3,7.4,0.0
1992-12-31,2.06,0.46,142.3,10558.648,1227.0,313000.0,64.3507,-0.881,109502.0,1176.0,0.37,2.14,3.55,91.0,7.4,0.0
1993-01-31,2.11,0.21,142.8,10576.275,1210.0,340000.0,64.5978,-0.957,109790.0,1177.0,0.2,2.19,3.43,89.3,7.3,0.0
1993-02-28,2.2,0.16,143.1,10576.275,1210.0,362000.0,64.9089,-0.956,110047.0,1148.0,-0.03,2.11,3.02,86.6,7.1,0.0
1993-03-31,2.18,-0.46,143.3,10576.275,1083.0,366000.0,64.8522,-0.975,110004.0,1056.0,-0.1,2.07,3.08,85.9,7.0,0.0
1993-04-30,2.12,0.26,143.8,10637.847,1258.0,350000.0,65.0301,-0.993,110300.0,1104.0,-0.03,2.22,3.08,85.6,7.1,0.0
1993-05-31,2.1,-0.12,144.2,10637.847,1260.0,349000.0,64.784,-0.981,110571.0,1112.0,-0.03,1.92,3.03,80.3,7.1,0.0
1993-06-30,2.16,0.04,144.3,10637.847,1280.0,340000.0,64.9301,-1.019,110742.0,1130.0,0.0,1.77,2.7,81.5,7.0,0.0
1993-07-31,2.05,-0.01,144.5,10688.606,1254.0,356000.0,65.1052,-1.09,111054.0,1174.0,-0.07,1.7,2.73,77.0,6.9,0.0
1993-08-31,1.91,-0.03,144.8,10688.606,1300.0,337000.0,65.0267,-1.09,111200.0,1230.0,-0.07,1.57,2.37,77.3,6.8,0.0
1993-09-30,2.0,0.4,145.0,10688.606,1343.0,343000.0,65.3717,-1.05,111448.0,1251.0,-0.1,1.51,2.42,77.9,6.7,0.0
1993-10-31,1.96,0.36,145.6,10833.987,1392.0,348000.0,65.8509,-0.966,111734.0,1287.0,0.0,1.44,2.33,82.7,6.8,0.0
1993-11-30,1.91,0.3,146.0,10833.987,1376.0,337000.0,66.1518,-0.937,111987.0,1357.0,-0.1,1.61,2.62,81.2,6.6,0.0
1993-12-31,1.94,0.51,146.3,10833.987,1533.0,290000.0,66.5436,-1.004,112325.0,1461.0,-0.1,1.58,2.76,88.2,6.5,0.0
1994-01-31,1.85,0.07,146.3,10939.116,1272.0,406000.0,66.7351,-1.012,112601.0,1390.0,0.0,1.58,2.65,94.3,6.6,0.0
1994-02-28,1.77,0.22,146.7,10939.116,1337.0,327000.0,66.774,-0.919,112782.0,1269.0,0.0,1.48,2.68,93.2,6.6,0.0
1994-03-31,1.59,0.98,147.1,10939.116,1564.0,322000.0,67.4552,-0.79,113245.0,1342.0,0.03,1.56,3.21,91.5,6.5,0.0
1994-04-30,1.48,0.26,147.2,11087.361,1465.0,344000.0,67.8541,-0.72,113589.0,1392.0,-0.07,1.33,3.09,92.6,6.4,0.0
1994-05-31,1.51,0.41,147.5,11087.361,1526.0,348000.0,68.1663,-0.721,113922.0,1396.0,-0.17,1.16,2.86,92.8,6.1,0.0
1994-06-30,1.52,0.45,147.9,11087.361,1409.0,341000.0,68.6265,-0.716,114239.0,1357.0,-0.17,1.15,3.08,91.2,6.1,0.0
